,g,ids,m,p,p2,p2g,pg,label
0,0.25,"[33794, 1377]",0.5392835535779661,0.43866072160397,0.416025147168922,0.333012573584461,0.344330360801985,BT
1,1.0,"[58559, 91529, 98124, 99813]",0.7102339361878537,0.494423256402228,0.550297479754765,0.7751487398773824,0.747211628201114,DN
2,0.525,"[33794, 1377, 58559, 91529, 98124, 99813]",0.556401677253236,0.5044068583975382,0.4896361008138748,0.5073180504069374,0.5147034291987691,AF
3,0.43500000666666666,"[33794, 1377, 58559, 91529, 98124, 99813, 136864]",0.5084235007703475,0.46518633066279946,0.40934214698451904,0.4221710768255928,0.45009316866473303,A
