,g,ids,m,p,p2,p2g,pg,label
0,0.9,"[61160, 33493, 5378, 2628, 260, 122886, 122886]",0.6652396915729921,0.816746642278199,0.43905612758467355,0.6695280637923368,0.8583733211390996,0
1,0.525,"[33794, 91529, 58559, 98124, 99813, 1377, 1377]",0.556401677253236,0.5044068583975382,0.4896361008138748,0.5073180504069374,0.5147034291987691,1
2,0.8666666666666668,"[110553, 95510, 170297, 8636, 52722, 5349, 5349]",0.6528299739670986,0.34378450884898415,0.28520435792276344,0.5759355122947152,0.6052255877578254,2
3,0.47333331999999995,"[6934, 6365, 172255, 2571, 2011, 2012, 2012]",0.5412133023330402,0.14625094494375837,0.44074504627236,0.45703918313617997,0.3097921324718792,3
4,1.0,"[120474, 3114, 78499, 106022, 87876, 1, 1]",0.7564769305445522,0.626314515628884,0.333006706310867,0.6665033531554335,0.813157257814442,4
5,1.0,"[87520, 69526, 174585, 112370, 147597, 53996, 53996]",0.7360473205904006,0.6566218218353884,0.40616306007094866,0.7030815300354742,0.8283109109176943,5
6,1.0,"[2411, 2409, 49651, 89045, 2410, 2412, 2412]",0.7341683369568809,0.7186706491143262,0.31838806589142515,0.6591940329457125,0.8593353245571631,6
7,1.0,"[2706, 4718, 73106, 50189, 39715, 59429, 59429]",0.720779743952376,0.370956856790595,0.245501860008496,0.622750930004248,0.6854784283952975,7
8,0.65,"[117895, 108190, 106487, 135133, 116823, 91500, 91500]",0.6323103430178374,0.6581930810816561,0.33217747919231994,0.49108873959616,0.654096540540828,8
9,0.8888888888888891,"[5952, 7153, 4993, 118696, 98809, 106489, 106489]",0.6682324887953516,0.9054638465825537,0.44143941248986446,0.6651641506893767,0.8971763677357214,9
